,Day,ParameterName,ReportingArea,Category_17,Category_18,Latitude,Longitude,Date_17,Date_18,AQI17,AQI18,AQI_Delta,AQI_DeltaP
71,12 ,PM2.5,Fremont,Unhealthy,Good,37.55,-122.03,2017-10-12 ,2018-10-12 ,154,33,-121,466.6666666666667
72,12 ,PM2.5,Livermore,Moderate,Good,37.68,-121.77,2017-10-12 ,2018-10-12 ,96,23,-73,417.39130434782606
73,12 ,PM2.5,Oakland,Unhealthy,Good,37.8,-122.27,2017-10-12 ,2018-10-12 ,152,44,-108,345.45454545454544
74,12 ,PM2.5,Redwood City,Unhealthy,Good,37.48,-122.22,2017-10-12 ,2018-10-12 ,154,33,-121,466.6666666666667
75,12 ,PM2.5,San Francisco,Unhealthy for Sensitive Groups,Good,37.75,-122.43,2017-10-12 ,2018-10-12 ,136,29,-107,468.96551724137925
76,12 ,PM2.5,San Jose,Moderate,Good,37.33,-121.9,2017-10-12 ,2018-10-12 ,99,25,-74,396.0
77,12 ,PM2.5,San Rafael,Unhealthy,Good,37.97,-122.52,2017-10-12 ,2018-10-12 ,151,26,-125,580.7692307692307
78,12 ,PM2.5,Santa Rosa,Moderate,Good,38.45,-122.7,2017-10-12 ,2018-10-12 ,67,2,-65,3350.0
79,13 ,OZONE,Concord,Good,Good,37.97,-122.03,2017-10-13 ,2018-10-13 ,44,31,-13,141.93548387096774
80,13 ,OZONE,Fairfield,Moderate,Good,38.25,-122.04,2017-10-13 ,2018-10-13 ,54,42,-12,128.57142857142858
81,13 ,OZONE,Livermore,Good,Good,37.68,-121.77,2017-10-13 ,2018-10-13 ,41,40,-1,102.49999999999999
82,13 ,OZONE,Napa,Good,Good,38.33,-122.28,2017-10-13 ,2018-10-13 ,48,36,-12,133.33333333333331
83,13 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-13 ,2018-10-13 ,45,28,-17,160.71428571428572
84,13 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-13 ,2018-10-13 ,44,26,-18,169.23076923076923
85,13 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-13 ,2018-10-13 ,27,31,4,87.09677419354838
86,13 ,OZONE,San Jose,Moderate,Good,37.33,-121.9,2017-10-13 ,2018-10-13 ,61,38,-23,160.5263157894737
87,13 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-13 ,2018-10-13 ,40,28,-12,142.85714285714286
88,13 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-13 ,2018-10-13 ,43,28,-15,153.57142857142858
89,13 ,OZONE,Vacaville,Good,Good,38.3525,-121.9617,2017-10-13 ,2018-10-13 ,36,43,7,83.72093023255815
90,13 ,PM2.5,Concord,Unhealthy,Good,37.97,-122.03,2017-10-13 ,2018-10-13 ,153,19,-134,805.2631578947368
91,13 ,PM2.5,Livermore,Moderate,Good,37.68,-121.77,2017-10-13 ,2018-10-13 ,73,44,-29,165.9090909090909
92,13 ,PM2.5,Napa,Very Unhealthy,Good,38.33,-122.28,2017-10-13 ,2018-10-13 ,265,32,-233,828.125
