,zip,AQI,Category,DateObserved,HourObserved,Latitude,LocalTimeZone,Longitude,ParameterName,ReportingArea,StateCode
18,95407,27,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
19,95407,6,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
20,94604,25,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
21,94604,44,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
22,95140,38,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
23,95140,23,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
24,94557,36,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.55,PST,-122.03,OZONE,Fremont,CA
25,94557,48,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.55,PST,-122.03,PM2.5,Fremont,CA
26,94023,38,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
27,94023,20,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
28,94937,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
29,94937,19,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
30,94920,25,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
31,94920,29,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
32,95404,30,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
33,95404,10,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
34,94948,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
35,94948,32,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
36,95032,43,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
37,95032,25,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
38,94923,28,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
39,94923,6,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
40,94523,30,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.03,OZONE,Concord,CA
41,94523,22,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.03,PM2.5,Concord,CA
42,94549,33,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.03,OZONE,Concord,CA
43,94549,9,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.03,PM2.5,Concord,CA
44,94585,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.25,PST,-122.04,OZONE,Fairfield,CA
45,95412,25,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.9088,PST,-123.6931,OZONE,Point Arena,CA
46,95412,19,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.9088,PST,-123.6931,PM10,Point Arena,CA
47,94041,26,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
48,94041,19,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
49,94088,39,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
50,94088,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
51,94518,32,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.97,PST,-122.03,OZONE,Concord,CA
52,94518,20,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.97,PST,-122.03,PM2.5,Concord,CA
53,94591,42,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,38.25,PST,-122.04,OZONE,Fairfield,CA
54,94005,31,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.75,PST,-122.43,OZONE,San Francisco,CA
55,94005,48,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
56,94806,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
57,94806,19,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
58,95170,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
59,95170,25,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
60,94573,31,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.33,PST,-122.28,OZONE,Napa,CA
61,94573,28,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.33,PST,-122.28,PM2.5,Napa,CA
62,95011,31,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
63,95011,15,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
64,95106,39,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
65,95106,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
66,94581,39,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,38.33,PST,-122.28,OZONE,Napa,CA
67,94304,26,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
68,94304,39,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
69,94597,30,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.03,OZONE,Concord,CA
70,94597,22,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.03,PM2.5,Concord,CA
71,95109,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
72,95109,25,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
73,95391,40,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.68,PST,-121.77,OZONE,Livermore,CA
74,95391,16,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.68,PST,-121.77,PM2.5,Livermore,CA
75,94038,28,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,OZONE,San Francisco,CA
76,94038,27,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
77,95035,31,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
78,95035,15,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
79,95113,39,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
80,95113,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
81,94021,33,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
82,94021,33,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
83,94596,31,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.97,PST,-122.03,OZONE,Concord,CA
84,94596,19,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.97,PST,-122.03,PM2.5,Concord,CA
85,94510,40,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,38.25,PST,-122.04,OZONE,Fairfield,CA
86,95476,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
87,95476,4,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
88,95487,45,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.33,PST,-122.28,OZONE,Napa,CA
89,95487,13,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.33,PST,-122.28,PM2.5,Napa,CA
90,95117,35,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
91,95117,43,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
92,94536,31,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.55,PST,-122.03,OZONE,Fremont,CA
93,94536,19,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.55,PST,-122.03,PM2.5,Fremont,CA
94,94566,34,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.68,PST,-121.77,OZONE,Livermore,CA
95,94566,35,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.68,PST,-121.77,PM2.5,Livermore,CA
96,94065,33,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
